Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol,Perubahan
04/04/2023,5.200,5.250,5.300,5.100,8414000000,-50.59
03/04/2023,10.525,10.400,10.525,10.400,4615000000,1.94
31/03/2023,10.325,10.275,10.325,10.200,4778000000,0.98
30/03/2023,10.225,10.350,10.400,10.225,4860000000,-1.21
29/03/2023,10.350,10.250,10.375,10.200,4410000000,2.22
28/03/2023,10.125,10.200,10.275,10.100,4318000000,-0.74
27/03/2023,10.200,10.400,10.425,10.200,7615000000,-6.42
24/03/2023,10.900,10.625,10.950,10.575,13179000000,3.81
21/03/2023,10.500,10.100,10.500,10.075,5823000000,5.00
20/03/2023,10.000,10.050,10.100,10.000,2322000000,-0.99
17/03/2023,10.100,9.950,10.125,9.925,8783000000,2.54
16/03/2023,9.850,10.075,10.075,9.825,6245000000,-1.99
15/03/2023,10.050,10.050,10.175,9.850,11662000000,1.26
14/03/2023,9.925,10.200,10.275,9.850,9638000000,-4.11
13/03/2023,10.350,10.275,10.375,10.225,4641000000,-0.24
10/03/2023,10.375,10.425,10.425,10.275,5571000000,-0.72
09/03/2023,10.450,10.400,10.500,10.350,4164000000,1.70
08/03/2023,10.275,10.250,10.275,10.175,4393000000,0.98
07/03/2023,10.175,10.150,10.275,10.125,3524000000,0.49
06/03/2023,10.125,10.175,10.225,10.075,2692000000,0.75
