"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"05/04/2023","2.640","2.620","2.650","2.610","519,50K","1,15%"
"04/04/2023","2.610","2.640","2.670","2.580","4,54M","-1,14%"
"03/04/2023","2.640","2.680","2.690","2.630","2,25M","-1,12%"
"31/03/2023","2.670","2.670","2.720","2.570","11,44M","0,00%"
"30/03/2023","2.670","2.740","2.740","2.670","4,67M","-2,55%"
"29/03/2023","2.740","2.670","2.790","2.660","4,97M","2,62%"
"28/03/2023","2.670","2.630","2.670","2.620","1,26M","3,49%"
"27/03/2023","2.580","2.600","2.640","2.580","2,35M","-0,77%"
"24/03/2023","2.600","2.550","2.650","2.550","3,86M","1,96%"
"21/03/2023","2.550","2.590","2.620","2.550","2,30M","-1,54%"
"20/03/2023","2.590","2.650","2.650","2.560","3,08M","-2,26%"
"17/03/2023","2.650","2.670","2.680","2.630","4,05M","-0,75%"
"16/03/2023","2.670","2.650","2.670","2.600","4,47M","0,75%"
"15/03/2023","2.650","2.620","2.690","2.620","1,94M","0,00%"
"14/03/2023","2.650","2.680","2.690","2.500","3,11M","-1,12%"
"13/03/2023","2.680","2.700","2.700","2.610","2,16M","-0,74%"
"10/03/2023","2.700","2.730","2.730","2.680","3,48M","-1,10%"
"09/03/2023","2.730","2.700","2.740","2.690","4,09M","1,11%"
"08/03/2023","2.700","2.700","2.730","2.680","864,60K","0,00%"
"07/03/2023","2.700","2.700","2.740","2.670","1,95M","0,00%"
"06/03/2023","2.700","2.690","2.800","2.660","9,52M","1,12%"
"03/03/2023","2.670","2.740","2.740","2.670","2,00M","-2,55%"
"02/03/2023","2.740","2.620","2.750","2.600","10,60M","4,58%"
"01/03/2023","2.620","2.630","2.680","2.600","2,97M","-1,50%"
"28/02/2023","2.660","2.660","2.740","2.570","3,99M","0,00%"
"27/02/2023","2.660","2.680","2.690","2.640","9,27M","-0,75%"
"24/02/2023","2.680","2.640","2.750","2.640","9,76M","1,90%"
"23/02/2023","2.630","2.630","2.660","2.610","1,84M","0,38%"
"22/02/2023","2.620","2.660","2.710","2.620","6,49M","-1,50%"
"21/02/2023","2.660","2.650","2.700","2.630","4,00M","0,38%"
"20/02/2023","2.650","2.690","2.690","2.630","2,83M","-1,49%"
"17/02/2023","2.690","2.670","2.710","2.620","6,83M","0,75%"
"16/02/2023","2.670","2.640","2.710","2.610","19,88M","1,14%"
"15/02/2023","2.640","2.600","2.640","2.580","8,15M","1,54%"
"14/02/2023","2.600","2.600","2.650","2.520","10,52M","0,39%"
"13/02/2023","2.590","2.440","2.670","2.420","24,83M","6,15%"
